ID,Text,From,To,Context
"Proto-Omotic-dz-ʃ-tʃ","dz ʃ tʃ → ʒ s1 s2",dz,"ʒ",
"Proto-Omotic-dz-ʃ-tʃ","dz ʃ tʃ → ʒ s1 s2","ʃ",s1,
"Proto-Omotic-dz-ʃ-tʃ","dz ʃ tʃ → ʒ s1 s2","tʃ",s2,
"Proto-Omotic-dʒ","dʒ → tʃ → ʃ","dʒ","tʃ",
"Proto-Omotic-dʒ","dʒ → tʃ → ʃ","tʃ","ʃ",
Proto-Omotic-t,"t → ∅ / _s#",t,"∅",_s#
"Proto-Omotic-ɬ","ɬ → l","ɬ",l,
Proto-Omotic-f,"f → p",f,p,
"Proto-Omotic-aː","a(ː) → e(ː) / _{ʕ,q}$","a|aː","e|eː","_ʕ$|_q$"
"Proto-Omotic-q-ʕ","q ʕ → ʔ h",q,"ʔ",
"Proto-Omotic-q-ʕ","q ʕ → ʔ h","ʕ",h,
Proto-Omotic-a,"a → o / #Cw_{(d)l,s3}",a,o,#Cw_l|#Cw_s3|#Cw_dl|#Cw_s3
Proto-Omotic-w,"w → ∅ / #C_V, except _i(ː)",w,"∅","#C_V,"
"Proto-Omotic-ʃ","ʃ → s2 / {i,j}_","ʃ",s2,i_|j_
Proto-Omotic-VNC,"VNC → VːC[+voiced]",VNC,"VːC[+voiced]",
North-Omotic-u-o,"u o → i e",u,i,
North-Omotic-u-o,"u o → i e",o,e,
North-Omotic-e,"e → i / #N_C",e,i,#N_C
North-Omotic-e_2,"e → i / #l_{P,C[+voiced]}",e,i,#l_P|#l_C[+voiced]
North-Omotic-e_3,"e → i / #b_",e,i,#b_
North-Omotic-e_4,"e → i / p_r",e,i,p_r
North-Omotic-e_5,"e → i / #{s,ʃ,tsʼ}_{k(w),ʔ}",e,i,"#s_k|#s_ʔ|#s_kw|#s_ʔ|#ʃ_k|#ʃ_ʔ|#ʃ_kw|#ʃ_ʔ|#tsʼ_k|#tsʼ_ʔ|#tsʼ_kw|#tsʼ_ʔ"
North-Omotic-e-o,"e o → i u / #C_P",e,i,#C_P
North-Omotic-e-o,"e o → i u / #C_P",o,u,#C_P
North-Omotic-e-o_2,"e o → i u / #(ʔ)_C",e,i,"#_C|#ʔ_C"
North-Omotic-e-o_2,"e o → i u / #(ʔ)_C",o,u,"#_C|#ʔ_C"
North-Omotic-e-o_3,"e o → i u / #{k(ʼ),x}_{t(ʼ),tsʼ}",e,i,"#k_t|#k_tsʼ|#k_tʼ|#k_tsʼ|#x_t|#x_tsʼ|#x_tʼ|#x_tsʼ|#kʼ_t|#kʼ_tsʼ|#kʼ_tʼ|#kʼ_tsʼ|#x_t|#x_tsʼ|#x_tʼ|#x_tsʼ"
North-Omotic-e-o_3,"e o → i u / #{k(ʼ),x}_{t(ʼ),tsʼ}",o,u,"#k_t|#k_tsʼ|#k_tʼ|#k_tsʼ|#x_t|#x_tsʼ|#x_tʼ|#x_tsʼ|#kʼ_t|#kʼ_tsʼ|#kʼ_tʼ|#kʼ_tsʼ|#x_t|#x_tsʼ|#x_tʼ|#x_tsʼ"
North-Omotic-e-o_4,"e o → i u / #(ʔ)_C$",e,i,"#_C$|#ʔ_C$"
North-Omotic-e-o_4,"e o → i u / #(ʔ)_C$",o,u,"#_C$|#ʔ_C$"
North-Omotic-e-o_5,"e o → i u / #P_{tsʼ,tʃʼ}",e,i,"#P_tsʼ|#P_tʃʼ"
North-Omotic-e-o_5,"e o → i u / #P_{tsʼ,tʃʼ}",o,u,"#P_tsʼ|#P_tʃʼ"
North-Omotic-a,"a → o / #{z,dʒ}_P",a,o,"#z_P|#dʒ_P"
"North-Omotic-eː","e(ː) → i(ː) / #C[+sibilant]_{d,n,r}","e|eː","i|iː",#C[+sibilant]_d|#C[+sibilant]_n|#C[+sibilant]_r
North-Omotic-Cw,"Cw → C",Cw,C,
"North-Omotic-Vː","Vː → V / #K[-voice]_C","Vː",V,#K[-voice]_C
North-Omotic-u,"u → uː / #S[+voice]_P[-voice]",u,"uː",#S[+voice]_P[-voice]
"North-Omotic-Vː_2","Vː → V / #C_C$ + $(V)C$ suffix","Vː",V,#C_C$
North-Omotic-N,"N → ∅ / V_{C[+sibilant],p}",N,"∅",V_C[+sibilant]|V_p
Bench-x1,"x1 → k",x1,k,
Bench-x2,"x2 → k / #_",x2,k,#_
Bench-x2-s3,"x2 s3 → ∅ ʃ / V_V",x2,"∅",V_V
Bench-x2-s3,"x2 s3 → ∅ ʃ / V_V",s3,"ʃ",V_V
"Bench-tʃ","tʃ → ts","tʃ",ts,
Bench-sx,"sx → ʃ",sx,"ʃ",
"Bench-ʔ,hx","{ʔ,hx} → ∅","ʔ|hx","∅",
Bench-l,"l → d / #_VC",l,d,#_VC
Bench-l_2,"l → n / #_VN",l,n,#_VN
"Bench-dʼ","dʼ → tʼ","dʼ","tʼ",
"Dizin-pʼ","pʼ → b","pʼ",b,
Dizin-z,"z → d / Vj_",z,d,Vj_
"Dizin-tsʼ","tsʼ → ʒ / V_","tsʼ","ʒ",V_
Dizin-x1,"x1 → k",x1,k,
Dizin-x2,"x2 → k / _#",x2,k,_#
Dizin-x2_2,"x2 → ∅ / V_V",x2,"∅",V_V
"Dizin-ʒ","ʒ → {tʃ,ts}","ʒ","tʃ|ts",
Dizin-ts,"ts → tʃ / _i",ts,"tʃ",_i
Dizin-sx,"sx → tʃ",sx,"tʃ",
Dizin-s1,"s1 → ʃ",s1,"ʃ",
"Dizin-ʔ","ʔ → ∅","ʔ","∅",
"Dizin-h1,h2","{h1,h2} → h",h1|h2,h,
"Dizin-dʼ","dʼ → tʼ","dʼ","tʼ",
Kafa-b,"b → w / _$#",b,w,_$#
Kafa-p,"p → f / V_",p,f,V_
"Kafa-z-zː","z zː → j dʒː",z,j,
"Kafa-z-zː","z zː → j dʒː","zː","dʒː",
Kafa-s,"s → ʃ / !V_",s,"ʃ",!V_
"Kafa-tsʼ","tsʼ → tʃʼ","tsʼ","tʃʼ",
Kafa-x1,"x1 → k",x1,k,
Kafa-x2,"x2 → k / #_",x2,k,#_
Kafa-x2_2,"x2 → ∅ / V_V",x2,"∅",V_V
"Kafa-s3,ʒ","{s3,ʒ} → ʃ / #_","s3|ʒ","ʃ",#_
"Kafa-ts,ʒ","{ts,ʒ} → tʃ / V_","ts|ʒ","tʃ",V_
Kafa-s3,"s3 → ʃ / V_V",s3,"ʃ",V_V
Kafa-s3_2,"s3 → s / V_$#",s3,s,V_$#
"Kafa-tsʼ_2","tsʼ → tʃʼ ","tsʼ","tʃʼ",
"Kafa-ɲ","ɲ → n","ɲ",n,
Kafa-h2,"h2 → w / #_",h2,w,#_
Kafa-l,"l → d / #_VC",l,d,#_VC
Kafa-l_2,"l → n / #_Vb",l,n,#_Vb
"Kafa-dʼ","dʼ → tʼ","dʼ","tʼ",
Maale-b,"b → w / V_V",b,w,V_V
Maale-p,"p → f / V_",p,f,V_
Maale-z,"z → d / V_",z,d,V_
Maale-z_2,"z → ts / Vj_",z,ts,Vj_
Maale-x1,"x1 → k",x1,k,
Maale-x2,"x2 → h / #_",x2,h,#_
Maale-x2_2,"x2 → ɡ / V_V",x2,"ɡ",V_V
"Maale-ts-tsː","ts tsː → s ts / V_",ts,s,V_
"Maale-ts-tsː","ts tsː → s ts / V_","tsː",ts,V_
Maale-sx,"sx → ʃ ",sx,"ʃ",
"Maale-tsʼ","tsʼ → tʃʼ / #_","tsʼ","tʃʼ",#_
"Maale-tsʼ_2","tsʼ → s / V_","tsʼ",s,V_
"Maale-ɲ","ɲ → n","ɲ",n,
Maale-h2,"h2 → w / #_",h2,w,#_
Shekkacho-b,"b → w / V_V",b,w,V_V
"Shekkacho-pʼ","pʼ → p / V_","pʼ",p,V_
"Shekkacho-pʼ_2","pʼ → b","pʼ",b,
Shekkacho-z,"z → j / {#,V}_",z,j,#_|V_
Shekkacho-z_2,"z → dʒː / Vj_",z,"dʒː",Vj_
"Shekkacho-zː","zː → dʒː","zː","dʒː",
Shekkacho-s,"s → ʃ / ! V_",s,"ʃ",V_
"Shekkacho-tsʼ","tsʼ → tʃʼ","tsʼ","tʃʼ",
Shekkacho-x1,"x1 → k",x1,k,
Shekkacho-x2,"x2 → ∅ / V_V",x2,"∅",V_V
"Shekkacho-ʒ","ʒ → ʃ / #_","ʒ","ʃ",#_
"Shekkacho-s3,ts,ʒ","{s3,ts,ʒ} → s / _$#","s3|ts|ʒ",s,_$#
Shekkacho-ts,"ts → ʃ / V_",ts,"ʃ",V_
Shekkacho-s3,"s3 → ʃ / #_",s3,"ʃ",#_
Shekkacho-s3_2,"s3 → s / V_$#",s3,s,V_$#
Shekkacho-s2,"s2 → ʃ",s2,"ʃ",
Shekkacho-s2_2,"s2 → {s,tʃː} / V_",s2,"s|tʃː",V_
Shekkacho-h1,"h1 → {h,∅} / #_",h1,"h|∅",#_
Shekkacho-h2,"h2 → w / #_",h2,w,#_
Shekkacho-l,"l → d / #_VC",l,d,#_VC
Shekkacho-l_2,"l → n / #_Vb",l,n,#_Vb
"Shekkacho-dʼ","dʼ → tʼ","dʼ","tʼ",
Wolaytta-b,"b → w / V_V",b,w,V_V
Wolaytta-p,"p → f",p,f,
Wolaytta-x1,"x1 → k",x1,k,
Wolaytta-x2,"x2 → ∅ / V_V",x2,"∅",V_V
Wolaytta-x2-s3,"x2 s3 → k ʃ / V_$#",x2,k,V_$#
Wolaytta-x2-s3,"x2 s3 → k ʃ / V_$#",s3,"ʃ",V_$#
Wolaytta-s,"s → s3 / V_(V)",s,s3,V_|V_V
Wolaytta-s1,"s1 → ʃ ",s1,"ʃ",
Wolaytta-s2,"s2 → s / V_",s2,s,V_
"Wolaytta-ɲ","ɲ → n","ɲ",n,
Wolaytta-l,"l → n / #_VN",l,n,#_VN
"Wolaytta-dʼ","dʼ → tʼ / #_","dʼ","tʼ",#_
Yemsa-b,"b → w / V_V",b,w,V_V
Yemsa-p,"p → f",p,f,
"Yemsa-pʼ","pʼ → b","pʼ",b,
Yemsa-z,"z → d / V_",z,d,V_
Yemsa-x1,"x1 → k",x1,k,
